Dataset,Method,k,mean_prob_drop,std_prob_drop
BGL,SHAP,1,0.0007666666666666644,0.1360460338757927
BGL,SHAP,2,-0.0037666666666666695,0.1390584649227319
BGL,SHAP,3,-0.004100000000000003,0.1419544958389444
BGL,SHAP,5,-0.002033333333333337,0.14883540125476422
BGL,SHAP,10,0.0017666666666666631,0.16235931003658385
BGL,LIME,1,-0.015283333333333333,0.06892933378145732
BGL,LIME,2,-0.017,0.06989356988386779
BGL,LIME,3,-0.017383333333333337,0.07035535002953064
BGL,LIME,5,-0.012750000000000004,0.09401089623608061
BGL,LIME,10,-0.002050000000000003,0.1289542026802108
BGL,Random,1,0.0,0.0
BGL,Random,2,0.0002999999999999997,0.004232020793899761
BGL,Random,3,0.0002999999999999997,0.004232020793899761
BGL,Random,5,-0.00023333333333333366,0.008650690402762336
BGL,Random,10,-0.00023333333333333366,0.008650690402762336
